Label,Left,Top,Right,Bottom,Filename
car,488,390,815,625,1011.jpg
car,565,303,639,360,1011.jpg
person,1086,305,1123,368,1011.jpg
person,1016,299,1044,357,1011.jpg
car,458,391,789,636,1012.jpg
car,682,290,706,306,1012.jpg
car,586,303,621,326,1012.jpg
car,960,320,1279,635,1013.jpg
car,445,389,777,652,1013.jpg
car,958,241,1018,283,1013.jpg
car,485,395,801,613,1014.jpg
car,638,305,659,325,1014.jpg
car,699,316,732,342,1014.jpg
car,671,305,692,327,1014.jpg
car,604,302,623,321,1014.jpg
car,686,309,707,335,1014.jpg
car,603,297,617,314,1014.jpg
person,1020,316,1046,376,1014.jpg
trafficlight,841,247,847,259,1015.jpg
car,502,381,833,617,1015.jpg
car,855,348,1039,469,1015.jpg
car,819,312,941,397,1015.jpg
car,776,315,800,332,1015.jpg
car,484,308,530,339,1015.jpg
car,1073,314,1161,343,1015.jpg
person,1063,305,1086,357,1015.jpg
person,1043,305,1060,338,1015.jpg
car,472,396,794,610,1016.jpg
person,776,326,794,370,1016.jpg
person,797,325,812,372,1016.jpg
car,473,394,792,638,1017.jpg
car,363,238,430,283,1017.jpg
car,632,229,659,247,1017.jpg
car,673,223,697,240,1017.jpg
trafficlight,664,241,673,256,1018.jpg
car,516,384,810,606,1018.jpg
car,726,297,762,330,1018.jpg
car,689,289,730,338,1018.jpg
car,474,390,811,609,1019.jpg
truck,591,241,635,304,1020.jpg
bus,80,237,265,308,1020.jpg
car,372,357,987,615,1020.jpg
car,496,273,538,303,1020.jpg
car,555,274,595,306,1020.jpg
trafficlight,420,302,427,314,1021.jpg
car,470,386,796,605,1021.jpg
car,455,399,800,612,1022.jpg
car,481,274,503,291,1022.jpg
truck,818,312,886,370,1023.jpg
car,truck:54%,1023.jpg,,,
873,326,963,387,truck:52%,1023.jpg
388,275,472,322,car:98%,1023.jpg
705,307,729,330,car:98%,1023.jpg
653,308,678,326,car:94%,1023.jpg
751,309,778,336,car:84%,1023.jpg
784,316,815,346,car:84%,1023.jpg
446,390,802,622,car:70%,1023.jpg
641,300,657,312,car:64%,1023.jpg
735,307,752,331,car:58%,1023.jpg
519,304,544,317,car:55%,1023.jpg
772,316,793,343,person:83%,1023.jpg
trafficlight,754,228,767,261,1024.jpg
car,1188,328,1279,377,1024.jpg
car,0,338,26,376,1024.jpg
car,738,330,769,360,1024.jpg
car,521,380,842,612,1024.jpg
bus,2,221,463,412,1025.jpg
car,491,389,809,635,1025.jpg
car,693,297,739,316,1025.jpg
car,856,294,880,314,1025.jpg
person,20,293,60,341,1025.jpg
trafficlight,100,235,116,259,1026.jpg
trafficlight,25,80,51,140,1026.jpg
trafficlight,681,274,690,292,1026.jpg
trafficlight,616,272,634,290,1026.jpg
trafficlight,742,293,752,309,1026.jpg
trafficlight,1056,189,1068,218,1026.jpg
car,103,336,455,515,1026.jpg
car,488,385,835,634,1026.jpg
car,716,321,841,417,1026.jpg
car,378,320,526,393,1026.jpg
car,545,344,574,358,1026.jpg
car,133,317,304,380,1026.jpg
person,1067,299,1092,372,1026.jpg
car,473,388,811,604,1027.jpg
trafficlight,607,241,613,254,1028.jpg
trafficlight,661,258,668,272,1028.jpg
car,475,387,792,617,1028.jpg
car,584,322,654,374,1028.jpg
car,623,303,662,329,1028.jpg
car,557,298,576,311,1028.jpg
car,579,304,644,341,1028.jpg
person,767,296,778,337,1028.jpg
car,469,396,795,626,1029.jpg
car,312,304,348,325,1029.jpg
car,517,324,601,385,1029.jpg
car,555,308,595,331,1029.jpg
car,502,301,521,322,1029.jpg
car,589,308,613,328,1029.jpg
trafficlight,757,213,772,248,1030.jpg
trafficlight,640,210,657,235,1030.jpg
trafficlight,878,251,893,282,1030.jpg
car,730,335,771,364,1030.jpg
car,449,392,775,624,1030.jpg
car,642,336,682,361,1030.jpg
car,465,396,800,624,1031.jpg
car,511,328,602,414,1031.jpg
car,602,317,641,342,1031.jpg
car,589,307,610,319,1031.jpg
car,601,309,630,327,1031.jpg
person,917,316,938,366,1031.jpg
person,945,317,961,364,1031.jpg
trafficlight,791,227,803,250,1032.jpg
trafficlight,685,224,701,243,1032.jpg
car,478,388,798,618,1032.jpg
car,772,331,808,363,1032.jpg
car,694,334,723,358,1032.jpg
trafficlight,651,240,659,258,1033.jpg
trafficlight,654,241,662,257,1033.jpg
truck,717,285,775,354,1033.jpg
car,785,312,847,354,1033.jpg
car,489,391,799,621,1033.jpg
person,987,307,1012,363,1033.jpg
trafficlight,612,240,619,252,1034.jpg
trafficlight,665,257,672,270,1034.jpg
car,492,388,820,621,1034.jpg
car,585,316,663,385,1034.jpg
car,625,304,670,341,1034.jpg
car,578,304,648,359,1034.jpg
car,559,296,579,311,1034.jpg
person,781,294,793,339,1034.jpg
trafficlight,420,301,428,314,1035.jpg
car,469,387,795,609,1035.jpg
car,0,347,26,397,1035.jpg
trafficlight,661,260,668,273,1036.jpg
trafficlight,609,242,615,255,1036.jpg
trafficlight,626,269,633,279,1036.jpg
car,477,386,792,623,1036.jpg
car,626,304,660,327,1036.jpg
car,588,322,653,372,1036.jpg
car,559,299,576,311,1036.jpg
car,582,305,638,339,1036.jpg
person,754,298,767,346,1036.jpg
car,423,382,776,641,1037.jpg
trafficlight,295,221,308,250,1038.jpg
truck,796,318,919,380,1038.jpg
car,511,381,851,624,1038.jpg
car,570,324,661,384,1038.jpg
car,529,314,590,352,1038.jpg
car,749,312,803,336,1038.jpg
car,793,325,918,380,1038.jpg
car,164,314,255,342,1038.jpg
trafficlight,707,232,715,243,1039.jpg
trafficlight,402,224,414,240,1039.jpg
trafficlight,481,212,490,230,1039.jpg
trafficlight,546,211,555,228,1039.jpg
car,477,390,794,629,1039.jpg
car,719,288,766,324,1039.jpg
car,1069,282,1178,311,1039.jpg
car,370,277,397,299,1039.jpg
trafficlight,654,223,670,244,1040.jpg
trafficlight,268,118,291,172,1040.jpg
truck,783,271,911,391,1040.jpg
car,477,394,800,607,1040.jpg
car,2,311,114,357,1040.jpg
trafficlight,1084,0,1125,54,1041.jpg
trafficlight,690,0,770,41,1041.jpg
bus,960,154,1272,527,1041.jpg
car,469,389,802,609,1041.jpg
